key,supplier,sku,name,brand,product_type,variant,weight_g,volume_ml,units_in_name,category_norm,price_unit,price_bulk,stock,scraped_at
1882|FERNET|V450,maxiconsumo,16540,FERNET 1882 450 CC,1882,Fernet,,,450.0,,Fernet,5927.89,5199.90,En stock,2026-03-06
1882|FERNET|V450,vital,7790139002886,Fernet 1882 450 cc,1882,Fernet,,,450.0,,Bebidas,4999.00,29994.00,disponible,2026-03-10
1882|FERNET|V750,maxiconsumo,16539,FERNET 1882 750 CC,1882,Fernet,,,750.0,,Fernet,8549.88,7499.90,En stock,2026-03-06
1882|FERNET|V750,santamaria,10222,Fernet 1882  750 c,1882,Fernet,,,750.0,,Bebidas / Fernet,6886.43,8332.58,uxb:6,2026-03-10
1930|SIDRA|V750,maxiconsumo,22504,SIDRA 1930 COSECHA ESPECIAL 750 CC,1930,Sidra,Cosecha Especial,,750.0,,Sidras Y Sabores,,,Disponibilidad crítica,2026-03-06
1930|SIDRA|V750,maxiconsumo,24919,SIDRA 1930 DOLCE 750 CC,1930,Sidra,Dolce,,750.0,,Sidras Y Sabores,,,Disponibilidad crítica,2026-03-06
1930|SIDRA|V750,vital,7790154000485,Sidra 1930 demi sec 750 cc,1930,Sidra,Demi Sec,,750.0,,Bebidas,4499.00,26994.00,disponible,2026-03-10
9DEORO|ALFAJOR|W45,maxiconsumo,28547,ALFAJOR 9 DE ORO BLANCO 45 GR,9 de Oro,Alfajor,Blanco,45.0,,,Alfajores Y Conitos,,,Disponibilidad crítica,2026-03-06
9DEORO|ALFAJOR|W45,maxiconsumo,28548,ALFAJOR 9 DE ORO NEGRO 45 GR,9 de Oro,Alfajor,Negro,45.0,,,Alfajores Y Conitos,,,Disponibilidad crítica,2026-03-06
9DEORO|ALFAJOR|W45,vital,7792180145536,Alfajor 9 de oro blanco 6 u 45 g,9 de Oro,Alfajor,Blanco 6 u,45.0,,,Kiosco,3249.00,32490.00,disponible,2026-03-10
9DEORO|ALFAJOR|W45,vital,7792180145529,Alfajor 9 de oro chocolate con ddl 6 u 45 g,9 de Oro,Alfajor,Chocolate con Ddl 6 u,45.0,,,Kiosco,3249.00,32490.00,disponible,2026-03-10
9DEORO|BIZCOCHOS|W200,maxiconsumo,4340,BIZCOCHOS 9 DE ORO AGRIDULCES 200 GR,9 de Oro,Bizcochos,Agridulces,200.0,,,Galletitas Saladas,1025.89,899.90,En stock,2026-03-06
9DEORO|BIZCOCHOS|W200,maxiconsumo,4236,BIZCOCHOS 9 DE ORO CLASICOS 200 GR,9 de Oro,Bizcochos,Clasicos,200.0,,,Galletitas Saladas,1025.89,899.90,En stock,2026-03-06
9DEORO|BIZCOCHOS|W200,maxiconsumo,12191,BIZCOCHOS 9 DE ORO SALVADO 200 GR,9 de Oro,Bizcochos,Salvado,200.0,,,Galletitas Saladas,1025.89,899.90,En stock,2026-03-06
9DEORO|BIZCOCHOS|W200,vital,7792200000128,Bizcochos 9 DE ORO agridulces azucarados 200 gr,9 de Oro,Bizcochos,Agridulces Azucarados,200.0,,,Almacen,919.00,18380.00,disponible,2026-03-10
9DEORO|BIZCOCHOS|W200,vital,7792180143587,Bizcochos 9 de oro cara sucia 200 gr,9 de Oro,Bizcochos,Cara Sucia,200.0,,,Almacen,919.00,18380.00,disponible,2026-03-10
9DEORO|BIZCOCHOS|W200,vital,7792200000159,Bizcochos 9 de Oro clasicos 200 gr,9 de Oro,Bizcochos,Clasicos,200.0,,,Almacen,919.00,22056.00,disponible,2026-03-10
9DEORO|GALLETITAS|W180,maxiconsumo,26006,GALLETITAS 9 DE ORO ANILLOS CHOCOLATE 120/180 GR,9 de Oro,Galletitas,Anillos Chocolate 120/,180.0,,,Galletitas Dulces,1094.29,959.90,En stock,2026-03-06
9DEORO|GALLETITAS|W180,maxiconsumo,26005,GALLETITAS 9 DE ORO ANILLOS VAINILLA 120/180 GR,9 de Oro,Galletitas,Anillos Vainilla 120/,180.0,,,Galletitas Dulces,1094.29,959.90,En stock,2026-03-06
9DEORO|GALLETITAS|W180,maxiconsumo,24147,GALLETITAS 9 DE ORO AVENA MIEL 120 / 180 GR,9 de Oro,Galletitas,Avena Miel 120 /,180.0,,,Galletitas Dulces,1117.08,979.89,En stock,2026-03-06
9DEORO|GALLETITAS|W180,maxiconsumo,24146,GALLETITAS 9 DE ORO AVENA PASAS 120 / 180 GR,9 de Oro,Galletitas,Avena Pasas 120 /,180.0,,,Galletitas Dulces,1117.08,979.89,En stock,2026-03-06
9DEORO|GALLETITAS|W180,maxiconsumo,24339,GALLETITAS 9 DE ORO CHIPS CHOCOLATE 120 / 180 GR,9 de Oro,Galletitas,Chips Chocolate 120 /,180.0,,,Galletitas Dulces,1117.08,979.89,En stock,2026-03-06
9DEORO|GALLETITAS|W180,vital,7792180143464,Galletitas 9 de oro anillitos vainilla 180 gr,9 de Oro,Galletitas,Anillitos Vainilla,180.0,,,Almacen,1159.00,18544.00,disponible,2026-03-10
9DEORO|SCONS|W180,maxiconsumo,24144,SCONS 9 DE ORO LIMON 180 GR,9 de Oro,Scons,Limon,180.0,,,Galletitas Dulces,1253.87,1099.89,En stock,2026-03-06
9DEORO|SCONS|W180,vital,7792180009524,Scons 9 de Oro limon 180 gr,9 de Oro,Scons,Limon,180.0,,,Almacen,999.00,15984.00,disponible,2026-03-10
ABSOLUT|VODKA|V750,maxiconsumo,17899,VODKA ABSOLUT 750 CC,Absolut,Vodka,,,750.0,,Vodka,,,Disponibilidad crítica,2026-03-06
ABSOLUT|VODKA|V750,maxiconsumo,17898,VODKA ABSOLUT APEACH 750 CC,Absolut,Vodka,Apeach,,750.0,,Vodka,,,Disponibilidad crítica,2026-03-06
ABSOLUT|VODKA|V750,maxiconsumo,24872,VODKA ABSOLUT LIME 750 CC,Absolut,Vodka,Lime,,750.0,,Vodka,,,Disponibilidad crítica,2026-03-06
ABSOLUT|VODKA|V750,maxiconsumo,24870,VODKA ABSOLUT MANGO 750 CC,Absolut,Vodka,Mango,,750.0,,Vodka,,,Disponibilidad crítica,2026-03-06
