name,sku,supplier,category,price_unit,price_bulk,scraped_at
ACEITE MORIXE OLIVA EXTRA VIRGEN 500 ML,26127,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE MORIXE VERDES ENTERAS DOYPACK  300 gr,26123,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITE NATURA AEROSOL 120 CC,187,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,3419.89,2999.90,2026-03-06
ACEITE NATURA AEROSOLOLIVA 120 CC,22268,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE NATURA GIRASOL 3 LT,133,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,11741.88,10299.90,2026-03-06
ACEITE NATURA GIRASOL 900 CC,119,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,3784.69,3319.90,2026-03-06
ACEITE NATURA GIRASOL BID 5 LT,39,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,18809.88,16499.90,2026-03-06
"ACEITE NATURA GIRASOL PVC 1,5 LT",124,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,5699.89,4999.90,2026-03-06
ACEITE NATURA OLIVA BOTELLA 500 CC,22579,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE NATURA OLIVA PET 500 CC,25131,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE NATURA OLIVA PET INTENSO 500 CC,20541,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE NUCETE OLIVA EXTRA VIRGEN BOTELLA 500 CC,1306,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE NUCETE OLIVA EXTRA VIRGEN LATA 500 CC,13520,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE NUCETE OLIVA EXTRA VIRGEN PET 2 LT,26764,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE NUCETE OLIVA SUAVE BOTELLA 500 CC,23570,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE NUCETE OLIVA VIRGEN BOTELLA 250 CC,11954,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE NUCETE OLIVA VIRGEN LATA 1 LT,11955,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE NUCETE OLIVA VIRGEN LATA 500 CC,1302,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE SIGLO DE ORO MEZCLA 900 CC,26969,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE ZUELO OLIVA BOTELLA ORIGINAL 500 CC,18335,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE ZUELO OLIVA INTENSO LATA 500 CC,1541,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE ZUELO OLIVA ORIGINAL LATA 950 CC,27158,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITUINAS MORIXE VERDES DESCAROZADAS DOYPACK  300 gr,26124,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNA CASTELL VERDE DESCAROZADA DOYPACK 80 GR,27690,maxiconsumo,Almacen > Encurtidos > Aceitunas,1538.89,1349.90,2026-03-06
ACEITUNA NUCETE RODAJA 120 GR,4976,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS CASTELL NEGRAS DESCAROZADAS DOYPACK 70 GR,27240,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS CASTELL NEGRAS DOYPACK 90 GR,27239,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS CASTELL OLIVAS VERDES 850 GR,27245,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS CASTELL VERDE 180 GR,27235,maxiconsumo,Almacen > Encurtidos > Aceitunas,2279.89,1999.90,2026-03-06
ACEITUNAS CASTELL VERDE 90 100 GR,27236,maxiconsumo,Almacen > Encurtidos > Aceitunas,1196.88,1049.89,2026-03-06
ACEITUNAS CASTELL VERDE XL DOYPACK 170 GR,27242,maxiconsumo,Almacen > Encurtidos > Aceitunas,2735.87,2399.89,2026-03-06
ACEITUNAS CASTELL VERDES DESCAROZADAS DOYPACK 150 GR,27237,maxiconsumo,Almacen > Encurtidos > Aceitunas,2735.87,2399.89,2026-03-06
ACEITUNAS CASTELL VERDES DESCORAZADAS XL 140 GR,28325,maxiconsumo,Almacen > Encurtidos > Aceitunas,3818.88,3349.90,2026-03-06
