+----------------------------------------------------------------------------+-------------------------+-----------------------------+-------------------------------------------------+---------+--------------------------------+
| Nombre                                                                     | Marca                   | Tipo                        | Variante                                        | Tamaño  | Categoría                      |
| 3 PLUMAS  Petaca Licor Seco 200 Ml                                         | 3 PLUMAS                | Petaca                      | Licor Seco                                      | 200 ml  | Petacas                        |
| 3 TORRES  Amargo Blanco  1,50 Lts                                          | 3 TORRES                | Amargo                      | Blanco                                          | 1.5 l   | Amargos                        |
| 3 TORRES  Amargo Citrus  1,50 Lts                                          | 3 TORRES                | Amargo                      | Citrus                                          | 1.5 l   | Amargos                        |
| 3 TORRES  Amargo Limón  1,50 Lts                                           | 3 TORRES                | Amargo                      | Limón                                           | 1.5 l   | Amargos                        |
| 3 TORRES  Amargo Limón  2 Lts                                              | 3 TORRES                | Amargo                      | Limón                                           | 2 l     | Amargos                        |
| 3 TORRES  Amargo Pom.Rosado  1,50 Lts                                      | 3 TORRES                | Amargo                      | Pom.Rosado                                      | 1.5 l   | Amargos                        |
| 3 TORRES  Amargo Serrano  1,50 Lts                                         | 3 TORRES                | Amargo                      | Serrano                                         | 1.5 l   | Amargos                        |
| 3 TORRES  Amargo Serrano  2 Lts                                            | 3 TORRES                | Amargo                      | Serrano                                         | 2 l     | Amargos                        |
| 308  Fideos Codo Al Hvo. Grande 500 G                                      | 308                     | Fideos                      | Codo Al Hvo. Grande                             | 500 g   | Pastas Secas                   |
| 308  Fideos Mostachol Al Hvo. 500 G                                        | 308                     | Fideos                      | Mostachol Al Hvo.                               | 500 g   | Pastas Secas                   |
| 308  Fideos Nido Al Hvo. N°1 500 G                                         | 308                     | Fideos                      | Nido Al Hvo. N°1                                | 500 g   | Pastas Secas                   |
| 308  Fideos Nido Al Hvo. N°2 500 G                                         | 308                     | Fideos                      | Nido Al Hvo. N°2                                | 500 g   | Pastas Secas                   |
| 308  Fideos Nido Al Hvo. N°3 500 G                                         | 308                     | Fideos                      | Nido Al Hvo. N°3                                | 500 g   | Pastas Secas                   |
